Insee,"Code postal",Commune,"Nombre habitants",Rue,Ordures,"Horaires ordures",Recurrence,Tri,"Horaires tri",Recurrence
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ABERDEEN (Rue d') / entre Rue de GOMEL et Rue Alphonse DAUDET",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ABERDEEN (Rue d') / BLOCS","Mardi - Vendredi","05h00 / 12h00 - 14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ABRICOTIERS (Allée des) / entre Cité de la FONTCIMAGNE Allée des PRUNIERS et Rue Edith PIAF","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ACACIAS (Allée des) / entre Collecte en bout d'impasse et Rue MICHELET","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ADER (Rue Clément) / entre Rue de la CARTOUCHERIE et Rue de la PRADELLE",Samedi,"14h00 / 21h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AGRICULTURE (Avenue de l') Impairs / entre Avenue du Brezet et Rue KEPLER","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AGRICULTURE (Avenue de l') Pairs / entre Echangeur d'HERBET et Déviation de l' autoroute A720","Mardi - Vendredi","05h00 / 12h00 - 05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AGRICULTURE (Avenue de l') Pairs n° 60 / entre Rue du VERSEAU et 2 ème Impasse",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AGRICULTURE 2° Impasse / Avenue de l'AGRICULTURE",Mardi,"14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AGUESSEAU (Rue d') / entre Rue GUYNEMER et Rue de la CONDAMINE","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AICARD (Rue Jean) / entre Boulevard LAVOISIER et Rue des CHANELLES","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AIGUEPERSE (Rue d') / entre Rue de RIOM et Avenue CHARRAS","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AIGUILLADE (Rue de) / entre Boulevard John F.KENNEDY et Rue de la Grande COMBAUDE","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AIMES (Rue des) / entre Rue BARNIER et Rue NOTRE DAME DU PORT",Samedi,"14h00 / 21h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALBERT ET ELISABETH (Avenue) / entre Place SALFORD et Avenue d'Italie","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALBERT ET ELISABETH (Avenue) / entre Rue Italie et Avenue de l'UNION SOVIETIQUE","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALBON (Rue d') / entre Boulevard LAFAYETTE et Rue Docteur CHIBRET","Mercredi - Samedi","05h00 / 12h00 - 05h00 / 12h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALESIA (Rue d') / entre Avenue Léon BLUM et Rue des TROENES",Samedi,"05h00 / 07h30","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALINE (Rue d') / entre Rue de la RODADE et Rue du PUITS MARTEL","Lundi - Jeudi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALLAGNAT (Rue d') / entre Avenue Colonel GASPARD et Rue LAGARLAYE",Samedi,"05h00 / 12h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALLENDE (Rue Salvador) / entre Rue de la PRADELLE et Chemin de la SOURCE",Samedi,"05h00 / 07h30","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALLUARD (Rue) / entre Place de JAUDE et Rue Ernest RENAN",Samedi,"05h00 / 12h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALSACE (Rue d') / entre Avenue d'ITALIE et Rue de CHATEAUDUN","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALVERHNE ( Rue Peire d') / entre Rue du PARC de MONTJUZET et Rue du PARC de MONTJUZET",Jeudi,"14h00 / 21h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ALPILLES (Rue des) / entre Rue Alphonse DAUDET et Rue de CHANCROLE",Mardi,"14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AMANDIERS (Allée des) / entre Cité de CHANTURGUE Rue de CHALONNAX et Impasse",Jeudi,"05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AMANDINES (Impasse des) / Rue de NOHANENT entre le n°133 et 135",Jeudi,"14h00 / 21h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AMBERT (Rue d') / entre Rue de RANDAN et Avenue d'ITALIE","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AMBERT (Rue d') / entre Avenue d'ITALIE et Rue de RIOM","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AMBOISE (Rue d') / entre Cours SABLON et Avenue des PAULINES","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AMITIE (Rue de l') / entre Cite de la PLAINE Rue DIDEROT face n°13 et Impasse",Mardi,"14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AMPERE (Rue) / entre Rue du PRE LA REINE et Rue d'AUBRAC","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ANCIEN POIDS DE VILLE (Rue de l') / entre Rue des GRAS et Rue des CHAUSSETIERS","Mardi - Samedi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ANDRAUD (Rue Henry) / entre Rue des TROIS PATRIOTES et Rue DESDEVISES DU DEZERT","Mercredi - Samedi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",,,"Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ANGE (Rue de l') / entre Rue des VIEILLARDS et Rue Sainte ROSE",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ANGE (Rue de l') / entre Place de L'ETOILE et Rue Saint DOMINIQUE",Samedi,"05h00 / 12h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ANTERRIEUX (Rue d') / entre Rue de la CARTOUCHERIE et Rue de la PARLETTE",Samedi,"05h00 / 12h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","APOLLON (Rue d') / entre Rue du CLOS CHANTURGUE et Rue Docteur BOUSQUET",Jeudi,"05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARAGO (Impasse) / Rue ARAGO (Entre le n°10 et 10bis)",Samedi,"05h00 / 12h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARAGO (Rue) / entre Rue Anatole FRANCE et Rue de la CARTOUCHERIE",Samedi,"05h00 / 07h30","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARAGON (Place Louis) / Mail d'ALLAGNAT",Samedi,"14h00 / 21h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARC (Rue Jeanne d') / entre Avenue CHARRAS et Avenue de l'UNION SOVIETIQUE","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARCADE (Rue de l') / Côté Place RENOUX",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARCADE (Rue de l') / Coté Rue SAINT ESPRIT","Mardi - Samedi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARCHERS (Petite Rue des) / entre Rue des ARCHETS et Boulevard TRUDAINE",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARCHERS (Rue des) / entre Rue NEYRON et Boulevard TRUDAINE",Samedi,"14h00 / 21h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARNAUD (Rue Julien) / entre Rue AMADEO et Impasse","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARSENAL (Rue de l') / entre Boulevard Georges POMPIDOU et Impasse","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ARTAUD BLANVAL (Rue) / entre Rue Georges CLEMENCEAU et Place Louis ARAGON",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ASSAS (Rue d') / entre Rue Georges CLEMENCEAU et Place de JAUDE","Mardi - Samedi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","ASTRE (Impasse de l') / entre Rue Pierre DOUSSINET et Impasse",Samedi,"05h00 / 12h00","Semaine ",Jeudi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUBEPINES (Rue des) / Rue de MONTJUZET",Jeudi,"14h00 / 21h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUBIGNE (Rue Agrippa d') / entre Rue GUYNEMER et Rue Anatole FRANCE","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUBRAC (Rue d') / entre Boulevard Saint JEAN et Rue AMPERE","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUBRAC (Rue Lucie) / entre Rue du RESSORT et Rue d'ESTAING","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUCHATRAIRE (Rue Jean) / entre Boulevard Louis CHARTOIRE et Rue Jacqueline AURIOL","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUDOLLENT (Rue Auguste) / entre Avenue de GRANDE-BRETAGNE et Avenue CARNOT","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUGER (Rue) / entre Avenue Edouard MICHELIN et Rue d'ESTAING","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AULNAT (ancienne route d') / entre Rue Docteur MALLY et Impasse","Mardi - Vendredi","05h00 / 12h00 - 14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AULNES (Rue des) / Rue des CHAMPS de ROSEAUX",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AULTERIBE (Rue d') / entre Rue du CHATEAU des VERGNES et Rue du CHATEAU des VERGNES",Mardi,"14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AULTERIBE (Rue d') Commerces / entre Rue du CHATEAU des VERGNES et Rue du CHATEAU des VERGNES","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AURIOL (Boulevard Vincent) / entre Boulevard Ambroise BRUGIERE et Boulevard Georges POMPIDOU",Mardi,"14h00 / 21h00","Semaine ",Mercredi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AURIOL (Rue Jacqueline) / ","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AUROUSSET (Rue Raymond) / entre Rue Anatole FRANCE et Rue Alfred de MUSSET","Mercredi - Samedi","05h00 / 12h00 - 05h00 / 12h00","Semaine ",Jeudi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AVIATION (Impasse de l') / entre Rue de l'AVIATION et Impasse",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AVIATION (Rue de l') / entre Rue du T.C.D. OURAGAN et Impasse",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AVIGNON (Rue d') / entre Rue de BEAUCAIRE et Impasse",Mardi,"05h00 / 12h00","Semaine ",Mercredi,"14h00 / 21h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AYDAT (Allée d') / entre Rue BELLIARD et Impasse",Jeudi,"05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","AYDAT (Rue d') / entre Rue BELLIARD et Impasse",Jeudi,"05h00 / 07h30","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BACCOT (Rue Claude) / entre Rue FONTGIEVE et Rue Sainte CLAIRE","Mardi - Samedi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BAILLIS (Rue des) / entre Place Marcel SEMBAT et Place des CONSULS","Lundi - Jeudi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BAL (Rue André) / entre Rue Jules FAVRE et Rue BEAUSOLEIL",Jeudi,"05h00 / 07h30","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALLAINVILLIERS (Passage) / entre Rue BALLAINVILLIERS et Rue Gilbert MOREL",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALLAINVILLIERS (Rue) / entre Rue Saint ESPRIT et Boulevard Léon MALFREYT",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALME (Rue Docteur Pierre) / entre Rue de la RODADE et Rue Docteur CLAUSSAT","Lundi - Jeudi","05h00 / 07h30 - 05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BALZAC (Rue Honoré de) / entre Rue LECUELLE et Rue Simeoni le FLORENTIN",Jeudi,"05h00 / 07h30","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANCAL (Rue) / entre Rue Georges CLEMENCEAU et Mail d'ALLAGNAT",Samedi,"05h00 / 07h30","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANIER (Rue Abbé) / entre Rue Sainte CLAIRE et Rue Gaultier de BIAUZAT",Samedi,"14h00 / 21h00","Semaine ",Mercredi,"05h00 / 07h30","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANSAC (Rue) / entre Place de SALFORD et Avenue CARNOT","Mardi - Vendredi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mercredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BANVILLE (Rue Théodore de) / entre Rue Anatole FRANCE et Rue GUYNEMER","Lundi - Jeudi","14h00 / 21h00 - 14h00 / 21h00","Semaine ",Mardi,"13h00 / 20h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARANTE (Rue de) / entre Rue de TARDIERES et Avenue deu LIMOUSIN",Jeudi,"05h00 / 07h30","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
"63113 ","63110 ",CLERMONT-FERRAND,"145041 ","BARBIER DAUBREE (Avenue) / entre Boulevard Jean-Baptiste DUMAS et Avenue Fernand FOREST","Lundi - Jeudi","14h00 / 21h00 - 05h00 / 12h00","Semaine ",Vendredi,"05h00 / 12h00","Semaine "
